iter	Passed	Remaining
712	13709	1672
713	13725	1653
714	13743	1633
715	13758	1614
716	13773	1594
717	13791	1575
718	13809	1555
719	13825	1536
720	13841	1516
721	13858	1497
722	13874	1477
723	13893	1458
724	13910	1439
725	13926	1419
726	13941	1399
727	13958	1380
728	13973	1360
729	13989	1341
730	14005	1322
731	14021	1302
732	14040	1283
733	14055	1263
734	14071	1244
735	14087	1224
736	14103	1205
737	14118	1186
738	14134	1166
739	14150	1147
740	14167	1128
741	14183	1108
742	14201	1089
743	14235	1071
744	14256	1052
745	14273	1033
746	14292	1014
747	14317	995
748	14334	976
749	14351	956
750	14369	937
751	14385	918
752	14404	899
753	14422	879
754	14441	860
755	14459	841
756	14479	822
757	14497	803
758	14517	784
759	14541	765
760	14567	746
761	14590	727
762	14615	708
763	14636	689
764	14656	670
765	14675	651
766	14694	632
767	14716	613
768	14745	594
769	14768	575
770	14789	556
771	14813	537
772	14835	518
773	14855	499
774	14880	480
775	14903	460
776	14927	441
777	14952	422
778	14976	403
779	14998	384
780	15022	365
781	15049	346
782	15073	327
783	15095	308
784	15120	288
785	15143	269
786	15166	250
787	15189	231
788	15213	212
789	15237	192
790	15263	173
791	15287	154
792	15311	135
793	15335	115
794	15353	96
795	15372	77
796	15391	57
797	15410	38
798	15427	19
799	15445	0
